observation_id,event_id,package_id,location_id,datetime,taxon_id,variable_name,value,unit
ob_980,ev_980,edi.193.1,lo_4,2007-07-25,tx_14,abundance,1,
ob_981,ev_981,edi.193.1,lo_5,2007-07-25,tx_13,abundance,1,
ob_983,ev_983,edi.193.1,lo_5,2007-07-25,tx_3,abundance,1,
ob_987,ev_987,edi.193.1,lo_5,2007-07-25,tx_40,abundance,1,
ob_993,ev_993,edi.193.1,lo_5,2007-07-25,tx_12,abundance,1,
ob_994,ev_994,edi.193.1,lo_5,2007-07-25,tx_14,abundance,1,
ob_998,ev_998,edi.193.1,lo_6,2007-07-25,tx_3,abundance,1,
ob_999,ev_999,edi.193.1,lo_7,2007-07-25,tx_14,abundance,1,
ob_1000,ev_1000,edi.193.1,lo_7,2007-07-25,tx_3,abundance,1,
ob_1001,ev_1001,edi.193.1,lo_7,2007-07-25,tx_39,abundance,1,
ob_1002,ev_1002,edi.193.1,lo_7,2007-07-25,tx_40,abundance,1,
ob_1003,ev_1003,edi.193.1,lo_7,2007-07-25,tx_2,abundance,1,
ob_1008,ev_1008,edi.193.1,lo_7,2007-07-25,tx_62,abundance,1,
ob_1011,ev_1011,edi.193.1,lo_7,2007-07-25,tx_13,abundance,1,
ob_1018,ev_1018,edi.193.1,lo_4,2008-11-07,tx_3,abundance,1,
ob_1019,ev_1019,edi.193.1,lo_4,2008-11-07,tx_14,abundance,1,
ob_1029,ev_1029,edi.193.1,lo_4,2008-11-07,tx_72,abundance,1,
ob_1033,ev_1033,edi.193.1,lo_4,2008-11-07,tx_62,abundance,1,
ob_1036,ev_1036,edi.193.1,lo_5,2008-11-07,tx_39,abundance,1,
ob_1037,ev_1037,edi.193.1,lo_5,2008-11-07,tx_2,abundance,2,
ob_1038,ev_1038,edi.193.1,lo_5,2008-11-07,tx_3,abundance,2,
ob_1039,ev_1039,edi.193.1,lo_5,2008-11-07,tx_14,abundance,2,
ob_1040,ev_1040,edi.193.1,lo_5,2008-11-07,tx_40,abundance,1,
ob_1043,ev_1043,edi.193.1,lo_5,2008-11-07,tx_13,abundance,1,
ob_1056,ev_1056,edi.193.1,lo_6,2008-11-07,tx_3,abundance,2,
ob_1057,ev_1057,edi.193.1,lo_6,2008-11-07,tx_40,abundance,1,
ob_1059,ev_1059,edi.193.1,lo_6,2008-11-07,tx_14,abundance,1,
ob_1063,ev_1063,edi.193.1,lo_10,2008-11-07,tx_3,abundance,2,
ob_1064,ev_1064,edi.193.1,lo_10,2008-11-07,tx_14,abundance,1,
ob_1073,ev_1073,edi.193.1,lo_10,2008-11-07,tx_13,abundance,1,
ob_1080,ev_1080,edi.193.1,lo_11,2008-11-07,tx_3,abundance,1,
ob_1082,ev_1082,edi.193.1,lo_11,2008-11-07,tx_14,abundance,1,
ob_1083,ev_1083,edi.193.1,lo_11,2008-11-07,tx_80,abundance,1,
ob_1086,ev_1086,edi.193.1,lo_11,2008-11-07,tx_2,abundance,1,
ob_1104,ev_1104,edi.193.1,lo_12,2008-11-07,tx_2,abundance,4,
ob_1105,ev_1105,edi.193.1,lo_12,2008-11-07,tx_3,abundance,4,
ob_1123,ev_1123,edi.193.1,lo_12,2008-11-07,tx_14,abundance,1,
ob_1124,ev_1124,edi.193.1,lo_13,2008-11-07,tx_3,abundance,3,
ob_1125,ev_1125,edi.193.1,lo_13,2008-11-07,tx_14,abundance,1,
ob_1128,ev_1128,edi.193.1,lo_13,2008-11-07,tx_51,abundance,3,
ob_1130,ev_1130,edi.193.1,lo_13,2008-11-07,tx_62,abundance,1,
ob_1133,ev_1133,edi.193.1,lo_13,2008-11-07,tx_2,abundance,1,
ob_1151,ev_1151,edi.193.1,lo_13,2008-11-07,tx_74,abundance,1,
